id,title,authors,journal,year,source
35,brain stimulation: a therapeutic approach for the treatment of neurological disorders,"camacho-conde j.a., gonzalez-bermudez m.d.r., carretero-rey m., khan z.u.",cns neuroscience and therapeutics,2022,scopus
36,alteration in functional magnetic resonance imaging signal complexity across multiple time scales in patients with migraine without aura,"wang x., zhang y., qi w., xu t., wang z., liao h., wang y., liu j., yu y., he z., gao s., li d., zhang g., zhao l.",frontiers in neuroscience,2022,scopus
37,"machine learning classification of maladaptive rumination and cognitive distraction in terms of frequency specific complexity,","serap aydın, barış akın,","biomedical signal processing and control,",2022,sciencedirect
38,"multi-classification of arrhythmias using resnet with cbam on cwgan-gp augmented ecg gramian angular summation field,","ke ma, chang'an a. zhan, feng yang,","biomedical signal processing and control,",2022,sciencedirect
39,neurological status classification using convolutional neural network,"jaloli m., choudhary d., cescon m.",ifac-papersonline,2020,scopus
40,late combination shows that meg adds to mri in classifying mci versus controls,"vaghari d., kabir e., henson r.n.",neuroimage,2022,scopus
41,a framework classification of heart sound signals in physionet challenge 2016 using high order statistics and adaptive neuro-fuzzy inference system,"al-naami b., fraihat h., gharaibeh n.y., al-hinnawi a.-r.m.",ieee access,2020,scopus
42,eeg-convtransformer for single-trial eeg based visual stimuli classification,"subhranil bagchi, deepti r. bathula",preprints,2021,arxiv
43,brain computations: what and how,rolls e.t.,brain computations: what and how,2021,scopus
44,"resting-state electroencephalography (eeg) biomarkers of chronic neuropathic pain. a systematic review,","thibaut mussigmann, benjamin bardel, jean-pascal lefaucheur,","neuroimage,",2020,sciencedirect
45,"a novel ensemble local graph structure based feature extraction network for eeg signal analysis,","turker tuncer, sengul dogan, fatih ertam, abdulhamit subasi,","biomedical signal processing and control,",2020,sciencedirect
46,speech emotion classification using fractal dimension-based features,"tamulevičius g., karbauskaitė r., dzemyda g.",nonlinear analysis: modelling and control,2019,scopus
47,multi-feature optimization study of soil total nitrogen content detection based on thermal cracking and artificial olfactory system,"liu h., zhu q., xia x., li m., huang d.",agriculture (switzerland),2022,scopus
48,depression speech recognition with a three-dimensional convolutional network,"wang h., liu y., zhen x., tu x.",frontiers in human neuroscience,2021,scopus
49,deep learning-based classification of fine hand movements from low frequency eeg,"bressan g., cisotto g., müller-putz g.r., wriessnegger s.c.",future internet,2021,scopus
50,the role of neural network for the detection of parkinson’s disease: a scoping review,"alzubaidi m.s., shah u., dhia zubaydi h., dolaat k., abd-alrazaq a.a., ahmed a., househ m.",healthcare (switzerland),2021,scopus
51,classification of seizure types using random forest classifier,"basri a., arif m.",advances in science and technology research journal,2021,scopus
52,classification of covid-19 electrocardiograms by using hexaxial feature mapping and deep learning,"ozdemir m.a., ozdemir g.d., guren o.",bmc medical informatics and decision making,2021,scopus
53,augmenting dl with adversarial training for robust prediction of epilepsy seizures,"hussein a., djandji m., mahmoud r.a., dhaybi m., hajj h.",acm transactions on computing for healthcare,2020,scopus
54,editorial of the special issue dlhi: deep learning in medical imaging and healthinformatics,"martis r.j., lin h., javadi b., fernandes s.l., yasmin m.",pattern recognition letters,2020,scopus
55,an insight into molecular mechanisms and novel therapeutic approaches in epileptogenesis,"singh s., singh t.g., rehni a.k.",cns and neurological disorders - drug targets,2020,scopus
56,"deep learning-based classification of multichannel bio-signals using directedness transfer learning,","nooshin bahador, jukka kortelainen,","biomedical signal processing and control,",2022,sciencedirect
57,automated eeg pathology detection based on different convolutional neural network models: deep learning approach,"bajpai r., yuvaraj r., prince a.a.",computers in biology and medicine,2021,scopus
58,biometric authentication system 8sing eeg biometric trait - a review,"rosli f.a., ardeena s., abdullah a.a., salim m.s.",aip conference proceedings,2021,scopus
59,bendr: using transformers and a contrastive self-supervised learning task to learn from massive amounts of eeg data,"kostas d., aroca-ouellette s., rudzicz f.",frontiers in human neuroscience,2021,scopus
60,deep learning-based arrhythmia detection in electrocardiograph,"meng y., liang g., yue m.",scientific programming,2021,scopus
61,stacking ensemble based deep neural networks modeling for effective epileptic seizure detection,akyol k.,expert systems with applications,2020,scopus
62,real-time eeg classification via coresets for bci applications,"netzer e., frid a., feldman d.",engineering applications of artificial intelligence,2020,scopus
63,functional localization in the brain of a cynomolgus monkey based on spike pattern recognition with machine learning,"wang m., song y., zhang s., xu s., zhang y., xiao g., li z., gao f., yue f., zhuang p., chan p., cai x.",journal of ambient intelligence and humanized computing,2019,scopus
64,objective assessment and treatment of depression based on multimodal affective brain computer interfaces [基于多模态情感脑机接口的抑郁症客观评估与调控治疗],"lu b.-l., zhang y., liu w., zheng w.-l.",chinese journal of psychiatry,2021,scopus
65,automatic detection of eeg epileptiform abnormalities in traumatic brain injury using deep learning,"faghihpirayesh r., ruf s., rocca m.l., garner r., vespa p., erdogmus d., duncan d.","proceedings of the annual international conference of the ieee engineering in medicine and biology society, embs",2021,scopus
66,biomedical signals and machine learning in amyotrophic lateral sclerosis: a systematic review,"fernandes f., barbalho i., barros d., valentim r., teixeira c., henriques j., gil p., dourado júnior m.",biomedical engineering online,2021,scopus
67,deep learning in physiological signal data: a survey,"rim b., sung n.-j., min s., hong m.",sensors (switzerland),2020,scopus
68,epilepsy seizure detection and classification analysis using residual neural network,"annuar r.m.h.r.k., shahbudin s., kassim m., rahman f.y.a.","2021 ieee 11th international conference on system engineering and technology, icset 2021 - proceedings",2021,scopus
69,"classification of epileptic eeg recordings using signal transforms and convolutional neural networks,","rubén san-segundo, manuel gil-martín, luis fernando d'haro-enríquez, josé manuel pardo,","computers in biology and medicine,",2019,sciencedirect
70,an automatic diagnostic network using skew-robust adversarial discriminative domain adaptation to evaluate the severity of depression,"sun b., zhang y., he j., xiao y., xiao r.",computer methods and programs in biomedicine,2019,scopus
71,"a 65nm/0.448 mw eeg processor with parallel architecture svm and lifting wavelet transform for high-performance and low-power epilepsy detection,","yongzhong wen, yuejun zhang, liang wen, haojie cao, guangpeng ai, minghong gu, pengjun wang, huiling chen,","computers in biology and medicine,",2022,sciencedirect
72,"a vision-based approach for fall detection using multiple cameras and convolutional neural networks: a case study using the up-fall detection dataset,","ricardo espinosa, hiram ponce, sebastián gutiérrez, lourdes martínez-villaseñor, jorge brieva, ernesto moya-albor,","computers in biology and medicine,",2019,sciencedirect
73,field programmable gate array applications-a scientometric review,"ruiz-rosero j., ramirez-gonzalez g., khanna r.",computation,2019,scopus
74,telling functional networks apart using ranked network features stability,"zanin m., güntekin b., aktürk t., yıldırım e., yener g., kiyi i., hünerli-gündüz d., sequeira h., papo d.",scientific reports,2022,scopus
75,machine learning with multistage classifiers for identification of of ectoparasite infected mud crab genus scylla,"ali r., yusro m.m., hitam m.s., ikhwanuddin m.",telkomnika (telecommunication computing electronics and control),2021,scopus
76,dimensionality reduction for multivariate time-series data mining,"wan x., li h., zhang l., wu y.j.",journal of supercomputing,2022,scopus
77,emotional intelligence - creating a new roadmap for artificial intelligence,"dey s., chakraborty c.",international journal of engineering systems modelling and simulation,2021,scopus
78,decoding task specific and task general functional architectures of the brain,"gupta s., lim m., rajapakse j.c.",human brain mapping,2022,scopus
79,"quantitative electroencephalographic biomarkers behind major depressive disorder,","juliana a. knociková, tomáš petrásek,","biomedical signal processing and control,",2021,sciencedirect
80,sensor-based and vision-based human activity recognition: a comprehensive survey,"minh dang l., min k., wang h., jalil piran m., hee lee c., moon h.",pattern recognition,2020,scopus
81,automated interpretation of abnormal adult electroencephalogram,silvia lópez de diego,-,2017,sciencedirect
82,"local pattern transformation based feature extraction techniques for classification of epileptic eeg signals,","abeg kumar jaiswal, haider banka,","biomedical signal processing and control,",2017,sciencedirect
83,eeg-ecg signals classification for arrhythmia detection using decision trees,"latif g., al anezi f.y., zikria m., alghazo j.","proceedings of the 4th international conference on inventive systems and control, icisc 2020",2020,scopus
84,exciting complexity: the role of motor circuit elements in als pathophysiology,"gunes z.i., kan v.w.y., ye x., liebscher s.",frontiers in neuroscience,2020,scopus
85,deep learning and machine learning based anomaly detection in internet of things environments [nesnelerin interneti ortamlarinda derin öǧrenme ve makine öǧrenmesi tabanli anomali tespiti],"gökdemir a., çalhan a.",journal of the faculty of engineering and architecture of gazi university,2022,scopus
86,"an overview of variational autoencoders for source separation, finance, and bio-signal applications","singh a., ogunfunmi t.",entropy,2022,scopus
87,sensorimotor integration in childhood dystonia and dystonic cerebral palsy—a developmental perspective,"mcclelland v.m., lin j.-p.",frontiers in neurology,2021,scopus
88,pilots' fatigue status recognition using deep contractive autoencoder network,"wu e.q., peng x.y., zhang c.z., lin j.x., sheng r.s.f.",ieee transactions on instrumentation and measurement,2019,scopus
89,an attention-based hybrid deep learning framework integrating brain connectivity and activity of resting-state functional mri data,"zhao m., yan w., luo n., zhi d., fu z., du y., yu s., jiang t., calhoun v.d., sui j.",medical image analysis,2022,scopus
90,early development of sleep and brain functional connectivity in term-born and preterm infants,"uchitel j., vanhatalo s., austin t.",pediatric research,2022,scopus
91,seizure prediction using two-dimensional discrete wavelet transform and convolution neural networks,"mohamed g., eldib h., sharkas m.",ceur workshop proceedings,2021,scopus
92,machine learning model for mapping of music mood and human emotion based on physiological signals,"garg a., chaturvedi v., kaur a.b., varshney v., parashar a.",multimedia tools and applications,2022,scopus
93,automated arrhythmia detection based on rr intervals,"faust o., kareem m., ali a., ciaccio e.j., acharya u.r.",diagnostics,2021,scopus
94,a systematic survey of computer-aided diagnosis in medicine: past and present developments,"yanase j., triantaphyllou e.",expert systems with applications,2019,scopus
95,spatiotemporal data mining: a survey on challenges and open problems,"hamdi a., shaban k., erradi a., mohamed a., rumi s.k., salim f.d.",artificial intelligence review,2022,scopus
96,how deep learning is empowering semantic segmentation: traditional and deep learning techniques for semantic segmentation: a comparison,"sehar u., naseem m.l.",multimedia tools and applications,2022,scopus
97,"neurofeedback training in major depressive disorder: a systematic review of clinical efficacy, study quality and reporting practices","trambaiolli l.r., kohl s.h., linden d.e.j., mehler d.m.a.",neuroscience and biobehavioral reviews,2021,scopus
98,"electrical status epilepticus during sleep electroencephalogram waveform identification and analysis based on a graph convolutional neural network,","lu meng, jinzhou hu, yu deng, yue hu,","biomedical signal processing and control,",2022,sciencedirect
99,perspective analysis of dyslexia detection among children’s using paradigms of machine learning and artificial intelligence,"vinodh m.r., rose p.j.a.l.",journal of advanced research in dynamical and control systems,2020,scopus
100,adaptive particle swarm optimization algorithm ensemble model applied to classification of unbalanced data,"zheng d., qin c., liu p.",scientific programming,2021,scopus
101,denoising and classification of arrhythmia using memd and ann,"murawwat s., asif h.m., ijaz s., imran malik m., raahemifar k.",alexandria engineering journal,2022,scopus
102,a graph-based feature extraction algorithm towards a robust data fusion framework for brain-computer interfaces,"zhu s., hosni s.i., huang x., borgheai s.b., mclinden j., shahriari y., ostadabbas s.","proceedings of the annual international conference of the ieee engineering in medicine and biology society, embs",2021,scopus
103,the clinical neuroscience of lateralization,"mundorf a., ocklenburg s.",the clinical neuroscience of lateralization,2021,scopus
104,brain–machine interfaces: the role of the neurosurgeon,"chari a., budhdeo s., sparks r., barone d.g., marcus h.j., pereira e.a.c., tisdall m.m.",world neurosurgery,2021,scopus
105,recurrent quantification analysis-based emotion classification in stroke using electroencephalogram signals,"murugappan m., zheng b.s., khairunizam w.",arabian journal for science and engineering,2021,scopus
106,recent developments in diagnosis of epilepsy: scope of microrna and technological advancements,"bandopadhyay r., singh t., ghoneim m.m., alshehri s., angelopoulou e., paudel y.n., piperi c., ahmad j., alhakamy n.a., alfaleh m.a., mishra a.",biology,2021,scopus
107,"differential classification of states of consciousness using envelope- and phase-based functional connectivity,","catherine duclos, charlotte maschke, yacine mahdid, kathleen berkun, jason da silva castanheira, vijay tarnal, paul picton, giancarlo vanini, goodarz golmirzaie, ellen janke, michael s. avidan, max b. kelz, lucrezia liuzzi, matthew j. brookes, george a. mashour, stefanie blain-moraes,","neuroimage,",2021,sciencedirect
108,artificial intelligence-enabled electrocardiography predicts left ventricular dysfunction and future cardiovascular outcomes: a retrospective analysis,"chen h.-y., lin c.-s., fang w.-h., lou y.-s., cheng c.-c., lee c.-c., lin c.",journal of personalized medicine,2022,scopus
109,"hierarchical harris hawks optimization for epileptic seizure classification,","zhenzhen luo, shan jin, zuoyong li, hui huang, lei xiao, huiling chen, ali asghar heidari, jiao hu, changzu chen, peiyu chen, zhongyi hu,","computers in biology and medicine,",2022,sciencedirect
110,comprehensive electrocardiographic diagnosis based on deep learning,"lih o.s., jahmunah v., san t.r., ciaccio e.j., yamakawa t., tanabe m., kobayashi m., faust o., acharya u.r.",artificial intelligence in medicine,2020,scopus
111,a multi-modal open dataset for mental-disorder analysis,"cai h., yuan z., gao y., sun s., li n., tian f., xiao h., li j., yang z., li x., zhao q., liu z., yao z., yang m., peng h., zhu j., zhang x., gao g., zheng f., li r., guo z., ma r., yang j., zhang l., hu x., li y., hu b.",scientific data,2022,scopus
112,deterministic characteristics of spontaneous activity detected by multi-fractal analysis in a spiking neural network with long-tailed distributions of synaptic weights,"nobukawa s., wagatsuma n., nishimura h.",cognitive neurodynamics,2020,scopus
113,identification of attention-deficit hyperactivity disorder based on the complexity and symmetricity of pupil diameter,"nobukawa s., shirama a., takahashi t., takeda t., ohta h., kikuchi m., iwanami a., kato n., toda s.",scientific reports,2021,scopus
114,detection of epileptiform spikes based on active learning,"wu j., mei z., huang z.","proceedings - 2021 14th international congress on image and signal processing, biomedical engineering and informatics, cisp-bmei 2021",2021,scopus
115,a narrative review on non-invasive stimulation of the cerebellum in neurological diseases,"billeri l., naro a.",neurological sciences,2021,scopus
116,towards a brain-based predictome of mental illness,"rashid b., calhoun v.",human brain mapping,2020,scopus
117,"functional connectome of brainstem nuclei involved in autonomic, limbic, pain and sensory processing in living humans from 7 tesla resting state fmri","cauzzo s., singh k., stauder m., garcía-gomar m.g., vanello n., passino c., staab j., indovina i., bianciardi m.",neuroimage,2022,scopus
118,application of local configuration pattern for automated detection of schizophrenia with electroencephalogram signals,"weikoh j.e., rajinikanth v., vicnesh j., pham t.-h., oh s.l., yeong c.h., sankaranarayanan m., kamath a., bairy g.m., barua p.d., cheong k.h.",expert systems,2022,scopus
119,convolutional neural network with autoencoder-assisted multiclass labelling for seizure detection based on scalp electroencephalography,"takahashi h., emami a., shinozaki t., kunii n., matsuo t., kawai k.",computers in biology and medicine,2020,scopus
120,genetically encoded fluorescent sensors for imaging neuronal dynamics in vivo,"day-cooney j., dalangin r., zhong h., mao t.",journal of neurochemistry,2022,scopus
121,evaluation of classification performance in human lower limb jump phases of signal correlation information and lstm models,"lu y., wang h., qi y., xi h.",biomedical signal processing and control,2021,scopus
122,eeg-rhythm specific taylor-fourier filter bank implemented with o-splines for the detection of epilepsy using eeg signals,"de la o serna j.a., paternina m.r.a., zamora-mendez a., tripathy r.k., pachori r.b.",ieee sensors journal,2020,scopus
123,hierarchical clustering approach for information-extreme machine learning ofhand brush prosthesis,"dovbysh a., piatachenko v.",ceur workshop proceedings,2021,scopus
124,new and emerging approaches to better define sleep disruption and its consequences,"lechat b., scott h., naik g., hansen k., nguyen d.p., vakulin a., catcheside p., eckert d.j.",frontiers in neuroscience,2021,scopus
125,minimum spanning tree based graph neural network for emotion classification using eeg,"liu h., zhang j., liu q., cao j.",neural networks,2022,scopus
126,compliance framework for seizure detection via gaussian deep boltzmann machine using eeg data signal,"abdullah o.a., aal-nouman m.i., aljoudi a.k.","2019 ieee conference on sustainable utilization and development in engineering and technologies, csudet 2019",2019,scopus
127,association of neuroimaging data with behavioral variables: a class of multivariate methods and their comparison using multi-task fmri data,"akhonda m.a.b.s., levin-schwartz y., calhoun v.d., adali t.",sensors,2022,scopus
128,"domain adaptation for epileptic eeg classification using adversarial learning and riemannian manifold,","peizhen peng, liping xie, kanjian zhang, jinxia zhang, lu yang, haikun wei,","biomedical signal processing and control,",2022,sciencedirect
129,multi-level binarized lstm in eeg classification for wearable devices,"najmeh nazari, seyed ahmad mirsalari, sima sinaei, mostafa e. salehi, masoud daneshtalab",preprints,2020,arxiv
130,detecting cognitive impairment status using keystroke patterns and physical activity data among the older adults: a machine learning approach,"hossain m.n., uddin m.h., thapa k., al zubaer m.a., islam m.s., lee j., park j., yang s.-h.",journal of healthcare engineering,2021,scopus
131,multi-class time continuity voting for eeg classification,"qu x., liu p., li z., hickey t.",lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics),2020,scopus
132,prediction of acoustic residual inhibition of tinnitus using a brain-inspired spiking neural network model,"sanders p.j., doborjeh z.g., doborjeh m.g., kasabov n.k., searchfield g.d.",brain sciences,2021,scopus
133,full training convolutional neural network for ecg signals classification,"kaouter k., mohamed t., sofiene d., abbas d., fouad m.",aip conference proceedings,2019,scopus
134,development of a point of care system for automated coma prognosis: a prospective cohort study protocol,"connolly j.f., reilly j.p., fox-robichaud a., britz p., blain-moraes s., sonnadara r., hamielec c., herrera-díaz a., boshra r.",bmj open,2019,scopus
135,higuchi fractal dimension: an efficient approach to detection of brain entrainment to theta binaural beats,"shamsi e., ahmadi-pajouh m.a., seifi ala t.",biomedical signal processing and control,2021,scopus
136,schizophrenia detection using multivariateempirical mode decomposition and entropy measures from multichannel eeg signal,"krishnan p.t., joseph raj a.n., balasubramanian p., chen y.",biocybernetics and biomedical engineering,2020,scopus
137,a-phases subtype detection using different classification methods,"machado f, teixeira c, santos c, bento c, sales f, dourado a.",annu int conf ieee eng med biol soc,2016,pubmed
138,electroencephalogram-based attention level classification using convolution attention memory neural network,"toa c.k., sim k.s., tan s.c.",ieee access,2021,scopus
139,optimal individualized multimedia tourism route planning based on ant colony algorithms and large data hidden mining,"qian x., zhong x.",multimedia tools and applications,2019,scopus
140,applications of advanced signal processing and machine learning in the neonatal hypoxic-ischemic electroencephalogram,"abbasi h., unsworth c.",neural regeneration research,2020,scopus
141,improving reliability of monitoring background eeg dynamics in asphyxiated infants,"matic v, cherian pj, jansen k, koolen n, naulaers g, swarte rm, govaert p, van huffel s, de vos m.",ieee trans biomed eng,2016,pubmed
142,fmri and transcranial electrical stimulation (tes): a systematic review of parameter space and outcomes,"ghobadi-azbari p., jamil a., yavari f., esmaeilpour z., malmir n., mahdavifar-khayati r., soleimani g., cha y.-h., shereen a.d., nitsche m.a., bikson m., ekhtiari h.",progress in neuro-psychopharmacology and biological psychiatry,2021,scopus
143,"harmonized-multinational qeeg norms (harmnqeeg),","min li, ying wang, carlos lopez-naranjo, shiang hu, ronaldo césar garcía reyes, deirel paz-linares, ariosky areces-gonzalez, aini ismafairus abd hamid, alan c. evans, alexander n. savostyanov, ana calzada-reyes, arno villringer, carlos a. tobon-quintero, daysi garcia-agustin, dezhong yao, li dong, eduardo aubert-vazquez, faruque reza, fuleah abdul razzaq, hazim omar, jafri malin abdullah, janina r. galler, john f. ochoa-gomez, leslie s. prichep, lidice galan-garcia, lilia morales-chacon, mitchell j. valdes-sosa, marius tröndle, mohd faizal mohd zulkifly, muhammad riddha bin abdul rahman, natalya s. milakhina, nicolas langer, pavel rudych, thomas koenig, trinidad a. virues-alba, xu lei, maria l. bringas-vega, jorge f. bosch-bayard, pedro antonio valdes-sosa,","neuroimage,",2022,sciencedirect
144,deep architectures for spatio-temporal modeling: automated seizure detection in scalp eegs,"golmohammadi m., ziyabari s., shah v., obeid i., picone j.","proceedings - 17th ieee international conference on machine learning and applications, icmla 2018",2019,scopus
145,heart sounds classification using convolutional neural network with 1d-local binary pattern and 1d-local ternary pattern features,mehmet bilal e.r.,applied acoustics,2021,scopus
146,supervised network-based fuzzy learning of eeg signals for alzheimer's disease identification,"yu h., lei x., song z., liu c., wang j.",ieee transactions on fuzzy systems,2020,scopus
147,an automatic epilepsy detection method based on improved inductive transfer learning,"yao y, cui z.",comput math methods med,2020,pubmed
148,investigation on the alteration of brain functional network and its role in the identification of mild cognitive impairment,"zhang l., ni h., yu z., wang j., qin j., hou f., yang a., alzheimer's disease neuroimaging initiative (adni)",frontiers in neuroscience,2020,scopus
149,music in the human experience: an introduction to music psychology,hodges d.a.,music in the human experience: an introduction to music psychology,2019,scopus
150,enhanced feature extraction-based cnn approach for epileptic seizure detection from eeg signals,"dhar p., garg v.k., rahman m.a.",journal of healthcare engineering,2022,scopus
151,sok: a comprehensive reexamination of phishing research from the security perspective,"das a., baki s., el aassal a., verma r., dunbar a.",ieee communications surveys and tutorials,2020,scopus
152,deep learning techniques for classification of electroencephalogram (eeg) motor imagery (mi) signals: a review,"altaheri h., muhammad g., alsulaiman m., amin s.u., altuwaijri g.a., abdul w., bencherif m.a., faisal m.",neural computing and applications,2021,scopus
153,comparison of domain specific connectivity metrics for estimation brain network indices in boys with adhd-c,"aydın s., çetin f.h., uytun m.ç., babadag̃í z., güven a.s., işık y.",biomedical signal processing and control,2022,scopus
154,decoding speech evoked jaw motion from non-invasive neuromagnetic oscillations,"dash d., ferrari p., wang j.",proceedings of the international joint conference on neural networks,2020,scopus
155,automatic arrhythmia recognition from electrocardiogram signals using different feature methods with long short-term memory network model,"pandey s.k., janghel r.r.","signal, image and video processing",2020,scopus
156,modelling epilepsy in the mouse: challenges and solutions,"marshall g.f., gonzalez-sulser a., abbott c.m.",dmm disease models and mechanisms,2021,scopus
157,a spectrogram image-based network anomaly detection system using deep convolutional neural network,"khan a.s., ahmad z., abdullah j., ahmad f.",ieee access,2021,scopus
158,visualising and quantifying relevant parkinsonian gait patterns using 3d convolutional network,"guayacán l.c., martínez f.",journal of biomedical informatics,2021,scopus
