new_id,old_id,ref,title,authors,journal,year,source,phase1,phase2,epilepsy,alzheimer,schizophrenia,parkinson,depression,sleepstage,generalpathology
17,276,mckeown,a deep learning approach to determine age-related eeg features in parkinson's disease,"mirian a., shirshekar h., mirian m.s., hussain r., lee s., mckeown m.j.","2021 28th national and 6th international iranian conference on biomedical engineering, icbme 2021",2021,scopus,1,0,0,0,0,1,0,0,0
18,284,uddin,automated classification of autism spectrum disorder using eeg signals and convolutional neural networks,"mohi ud din q., jayanthy a.k.","biomedical engineering - applications, basis and communications",2022,scopus,1,1,0,0,0,0,0,0,0
19,309,shoji,scalpnet: detection of spatiotemporal abnormal intervals in epileptic eeg using convolutional neural networks,"sakai t., shoji t., yoshida n., fukumori k., tanaka y., tanaka t.","icassp, ieee international conference on acoustics, speech and signal processing - proceedings",2020,scopus,1,0,1,0,0,0,0,0,0
20,310,choi,eeg microstate features for schizophrenia classification,"kim k., duc n.t., choi m., lee b.",plos one,2021,scopus,1,0,0,0,1,0,0,0,0
21,315,johnson,using eeg to detect driving fatigue based on common spatial pattern and support vector machine,"wang l., johnson d., lin y.",turkish journal of electrical engineering and computer sciences,2021,scopus,1,0,0,0,0,0,0,0,0
22,339,poznanski,classifier implementation for spontaneous eeg activity during schizophrenic psychosis,"sahu r., dash s.r., cacha l.a., poznanski r.r., parida s.",computacion y sistemas,2021,scopus,1,0,0,0,1,0,0,0,0
23,342,yildirim,a deep convolutional neural network model for automated identification of abnormal eeg ,"ozal yıldırım, ulas baran baloglu, u. rajendra acharya",neural computing and applications,2018,sciencedirect,1,1,0,0,0,0,0,0,1
24,346,won,performance analysis of deep learning models for detection of autism spectrum disorder from eeg signals,"radhakrishnan m., ramamurthy k., choudhury k.k., won d., manoharan t.a.",traitement du signal,2021,scopus,1,0,0,0,0,0,0,0,0
25,349,tautan,characterizing tms-eeg perturbation indexes using signal energy: initial study on alzheimer's disease classification,"alexandra-maria tautan, elias casula, ilaria borghi, michele maiella, sonia bonni, marilena minei, martina assogna, bogdan ionescu, giacomo koch, emiliano santarnecchi",preprints,2022,arxiv,1,0,0,1,0,0,0,0,0
26,350,shirafa,schizophrenia classification using resting state eeg functional connectivity: source level outperforms sensor level,"azizi s., hier d.b., wunsch d.c.","proceedings of the annual international conference of the ieee engineering in medicine and biology society, embs",2021,scopus,1,0,0,0,1,0,0,0,0
27,371,houdini,a multi-domain connectome convolutional neural network for identifying schizophrenia from eeg connectivity patterns,"phang c.-r., noman f., hussain h., ting c.-m., ombao h.",ieee journal of biomedical and health informatics,2020,scopus,1,0,0,0,1,0,0,0,0
28,396,gemein,machine-learning-based diagnostics of eeg pathology,"gemein l.a.w., schirrmeister r.t., chrabąszcz p., wilson d., boedecker j., schulze-bonhage a., hutter f., ball t.",neuroimage,2020,scopus,1,1,0,0,0,0,0,0,1
29,408,bajaj,a computerized method for automatic detection of schizophrenia using eeg signals,"siuly s., khare s.k., bajaj v., wang h., zhang y.",ieee transactions on neural systems and rehabilitation engineering,2020,scopus,1,1,0,0,1,0,0,0,0
30,418,desanta,"early diagnosis of parkinson’s disease using eeg, machine learning and partial directed coherence","de oliveira a.p.s., de santana m.a., andrade m.k.s., gomes j.c., rodrigues m.c.a., dos santos w.p.",research on biomedical engineering,2020,scopus,1,0,0,0,0,1,0,0,0
31,419,saini,light-weight 1-d convolutional neural network architecture for mental task identification and classification based on single-channel eeg,"manali saini, udit satija, madhur deo upadhayay",preprints,2020,arxiv,1,0,0,0,0,0,0,0,0
32,424,chowdhurry,a framework to evaluate and classify the clinical-level eeg signals with epilepsy,"chowdhury l., chowdhury b.r., rajinikanth v., dey n.",lecture notes in networks and systems,2021,scopus,1,0,1,0,0,0,0,0,0
33,432,zhang,"classification of inter-ictal and ictal eegs using multi-basis modwpt, dimensionality reduction algorithms and ls-svm: a comparative study,","tao zhang, wanzhong chen, mingyang li,","biomedical signal processing and control,",2019,sciencedirect,1,1,1,0,0,0,0,0,0
34,436,subathra,classification of epileptic eeg signals using pso based artificial neural network and tunable-q wavelet transform,"george s.t., subathra m.s.p., sairamya n.j., susmitha l., joel premkumar m.",biocybernetics and biomedical engineering,2020,scopus,1,0,1,0,0,0,0,0,0
35,440,kubra,"detection of multiple sclerosis from photic stimulation eeg signals,","büşra kübra karaca, mehmet feyzi akşahin, ruhsen öcal,","biomedical signal processing and control,",2021,sciencedirect,1,0,0,0,0,0,0,0,0
36,469,zhong,eeg-based epilepsy recognition via multiple kernel learning,"yao y., ding y., zhong s., cui z.",computational and mathematical methods in medicine,2020,scopus,1,0,1,0,0,0,0,0,0
37,470,jin,eeg classification via convolutional neural network-based interictal epileptiform event detection,"thomas j, comoretto l, jin j, dauwels j, cash ss, westover mb.",annu int conf ieee eng med biol soc,2018,pubmed,1,0,1,0,0,0,0,0,0
38,483,prabhakar,schizophrenia eeg signal classification based on swarm intelligence computing,"prabhakar sk, rajaguru h, kim sh.",comput intell neurosci,2020,pubmed,1,1,0,0,1,0,0,0,0
39,493,song,an eeg-based systematic explainable detection framework for probing and localizing abnormal patterns in alzheimer's disease,"song z., deng b., wang j., yi g.",journal of neural engineering,2022,scopus,1,0,0,1,0,0,0,0,0
40,496,aksgargabi,complexity analysis of eeg in patients with social anxiety disorder using fuzzy entropy and machine learning techniques,"al-ezzi a., al-shargabi a.a., al-shargie f., zahary a.t.",ieee access,2022,scopus,1,0,0,0,0,0,0,0,0
41,517,ecolli,classification of post-stroke eeg signal using genetic algorithm and recurrent neural networks,"guntari e.w., djamal e.c., nugraha f., liem s.l.l.","international conference on electrical engineering, computer science and informatics (eecsi)",2020,scopus,1,1,0,0,0,0,0,0,0
42,519,mangoubi,automatic detection of ictal activity in eeg channels using synchronization attributes,"mahgoub a., qaraqe m.","proceedings - 2020 ieee embs conference on biomedical engineering and sciences, iecbes 2020",2021,scopus,1,0,1,0,0,0,0,0,0
43,536,shalbaf,transfer learning with deep convolutional neural network for automated detection of schizophrenia from eeg signals,"shalbaf a., bagherzadeh s., maghsoudi a.",physical and engineering sciences in medicine,2020,scopus,1,1,0,0,1,0,0,0,0
44,542,ansari,a deep shared multi-scale inception network enables accurate neonatal quiet sleep detection with limited eeg channels,"ansari a.h., pillay k., dereymaeker a., jansen k., van huffel s., naulaers g., de vos m.",ieee journal of biomedical and health informatics,2022,scopus,1,0,0,0,0,0,0,1,0
45,561,roy,deep learning enabled automatic abnormal eeg identification,"subhrajit roy, isabell kiral-kornek, and stefan harre",-,2018,sciencedirect,1,1,0,0,0,0,0,0,1
46,562,ruiyan,"end-to-end sleep staging using convolutional neural network in raw single-channel eeg,","fan li, rui yan, reza mahini, lai wei, zhiqiang wang, klaus mathiak, rong liu, fengyu cong,","biomedical signal processing and control,",2021,sciencedirect,1,0,0,0,0,0,0,1,0
47,578,najafzadeh,automatic classification of schizophrenia patients using resting-state eeg signals,"najafzadeh h., esmaeili m., farhang s., sarbaz y., rasta s.h.",physical and engineering sciences in medicine,2021,scopus,1,1,0,0,1,0,0,0,0
48,586,hadiyoso,sample entropy on multidistance signal level difference for epileptic eeg classification,"rizal a, hadiyoso s.",scientificworldjournal,2018,pubmed,1,1,1,0,0,0,0,0,0
49,588,mumtaz,an eeg-based functional connectivity measure for automatic detection of alcohol use disorder,"mumtaz w, saad mnbm, kamel n, ali ssa, malik as.",artif intell med,2018,pubmed,1,1,0,0,0,0,0,0,0
50,600,yasin,optimization of multi-channel eeg signal using genetic algorithm in post-stroke classification,"yasin h.r., djamal e.c., nugraha f.","2020 3rd international conference on computer and informatics engineering, ic2ie 2020",2020,scopus,1,1,0,0,0,0,0,0,0
51,608,parashar,dephnn: a novel hybrid neural network for electroencephalogram (eeg)-based screening of depression,"sharma g., parashar a., joshi a.m.",biomedical signal processing and control,2021,scopus,1,0,0,0,0,0,1,0,0
52,609,albaqami,automatic detection of abnormal eeg signals using wavelet feature extraction and gradient boosting decision tree,"albaqami h., hassan g.m., subasi a., datta a.",biomedical signal processing and control,2021,scopus,1,1,0,0,0,0,0,0,1
53,614,wei,"automatic epileptic eeg detection using convolutional neural network with improvements in time-domain,","zuochen wei, junzhong zou, jian zhang, jianqiang xu,","biomedical signal processing and control,",2019,sciencedirect,1,1,1,0,0,0,0,0,0
54,644,phang,classification of eeg-based effective brain connectivity in schizophrenia using deep neural networks,"phang c.-r., ting c.-m., samdin s.b., ombao h.","international ieee/embs conference on neural engineering, ner",2019,scopus,1,1,0,0,1,0,0,0,0
55,670,ekaputri,drowsiness detection based on eeg signal using discrete wavelet transform (dwt) and k-nearest neighbors (k-nn) methods,"ekaputri c., fu’adah y.n., pratiwi n.k.c., rizal a., sularso a.n.",lecture notes in electrical engineering,2021,scopus,1,1,0,0,0,0,0,0,0
56,672,gupta,subject-specific cognitive workload classification using eeg-based functional connectivity and deep learning,"gupta a., siddhad g., pandey v., roy p.p., kim b.-g.",sensors,2021,scopus,1,0,0,0,0,0,0,0,0
57,677,sharma,automated detection of abnormal eeg signals using localized wavelet filter banks,"sharma m., patel s., acharya u.r.",pattern recognition letters,2020,scopus,1,1,0,0,0,0,0,0,1
58,701,anwares,a generic approach for classification of psychological disorders diagnosis using eeg,"anwar t., rehmat n., naveed h.","proceedings of the annual international conference of the ieee engineering in medicine and biology society, embs",2021,scopus,1,0,0,0,0,0,0,0,0
59,705,sharifa,predicting the standard and deviant patterns in eeg signals based on deep learning model,"sharif m.s., al-bayatti a.h., alfakeeh a.s.","proceedings - 2019 international conference on computing, electronics and communications engineering, iccece 2019",2019,scopus,1,1,0,0,0,0,0,0,1
60,724,shi,hybrid convolutional recurrent neural networks outperform cnn and rnn in task-state eeg detection for parkinson's disease,"shi x., wang t., wang l., liu h., yan n.","2019 asia-pacific signal and information processing association annual summit and conference, apsipa asc 2019",2019,scopus,1,0,0,0,0,1,0,0,0
61,753,roy,a semi-supervised deep learning algorithm for abnormal eeg identification,"subhrajit roy, kiran kate, and martin hirzel",-,2019,sciencedirect,1,1,0,0,0,0,0,0,1
62,760,aristizabal,identification of children at risk of schizophrenia via deep learning and eeg responses,"ahmedt-aristizabal d., fernando t., denman s., robinson j.e., sridharan s., johnston p.j., laurens k.r., fookes c.",ieee journal of biomedical and health informatics,2021,scopus,1,0,0,0,1,0,0,0,0
63,772,bajaj,a hybrid decision support system for automatic detection of schizophrenia using eeg signals,"khare s.k., bajaj v.",computers in biology and medicine,2022,scopus,1,1,0,0,1,0,0,0,0
64,792,hashempours,continuous scoring of depression from eeg signals via a hybrid of convolutional neural networks,"hashempour s., boostani r., mohammadi m., sanei s.",ieee transactions on neural systems and rehabilitation engineering,2022,scopus,1,1,0,0,0,0,1,0,0
65,800,yener,"detection of epileptic dysfunctions in eeg signals using hilbert vibration decomposition,","ali yener mutlu,","biomedical signal processing and control,",2018,sciencedirect,1,1,1,0,0,0,0,0,0
66,824,tibdewal,"multiple entropies performance measure for detection and localization of multi-channel epileptic eeg,","manish n. tibdewal, himanshu r. dey, manjunatha mahadevappa, ajoykumar ray, monika malokar,","biomedical signal processing and control,",2017,sciencedirect,1,0,1,0,0,0,0,0,0
67,826,michielli,"cascaded lstm recurrent neural network for automated sleep stage classification using single-channel eeg signals,","nicola michielli, u. rajendra acharya, filippo molinari,","computers in biology and medicine,",2019,sciencedirect,1,0,0,0,0,0,0,1,0
68,836,bajpai,"automated eeg pathology detection based on different convolutional neural network models: deep learning approach,","rishabh bajpai, rajamanickam yuvaraj, a. amalin prince,","computers in biology and medicine,",2021,sciencedirect,1,1,0,0,0,0,0,0,0
69,838,han,epilepsy detection in eeg using grassmann discriminant analysis method,"yu h, fan c, zhang y.",comput math methods med,2020,pubmed,1,0,1,0,0,0,0,0,0
70,911,sharma,automated detection of schizophrenia using optimal wavelet-based l1 norm features extracted from single-channel eeg,"sharma m., acharya u.r.",cognitive neurodynamics,2021,scopus,1,1,0,0,1,0,0,0,0
71,939,prabhakar,a framework for schizophrenia eeg signal classification with nature inspired optimization algorithms,"prabhakar s.k., rajaguru h., lee s.-w.",ieee access,2020,scopus,1,1,0,0,1,0,0,0,0
72,965,cao,epileptic state classification by fusing hand-crafted and deep learning eeg features,"hu d., cao j., lai x., wang y., wang s., ding y.",ieee transactions on circuits and systems ii: express briefs,2021,scopus,1,1,1,0,0,0,0,0,0
73,975,vicnesh,deep convolutional neural network model for automated diagnosis of schizophrenia using eeg signals,"oh s.l., vicnesh j., ciaccio e.j., yuvaraj r., acharya u.r.",applied sciences (switzerland),2019,scopus,1,1,0,0,1,0,0,0,0
74,1027,hossain,eeg-based pathology detection for home health monitoring,"muhammad g., hossain m.s., kumar n.",ieee journal on selected areas in communications,2021,scopus,1,1,0,0,0,0,0,0,1
75,1029,albaqami,"automatic detection of abnormal eeg signals using wavelet feature extraction and gradient boosting decision tree,","hezam albaqami, ghulam mubashar hassan, abdulhamit subasi, amitava datta,","biomedical signal processing and control,",2021,sciencedirect,1,1,0,0,0,0,0,0,1
76,1068,yu,epilepsy seeg data classification based on domain adversarial learning,"yu h., hu m.",ieee access,2021,scopus,1,0,1,0,0,0,0,0,0
77,1079,ardekani,"random forest classification of alcohol use disorder using eeg source functional connectivity, neuropsychological functioning, and impulsivity measures","kamarajan c., ardekani b.a., pandey a.k., chorlian d.b., kinreich s., pandey g., meyers j.l., zhang j., kuang w., stimus a.t., porjesz b.",behavioral sciences,2020,scopus,1,1,0,0,0,0,0,0,0
78,1110,thoduparambil,eeg-based deep learning model for the automatic detection of clinical depression,"thoduparambil p.p., dominic a., varghese s.m.",physical and engineering sciences in medicine,2020,scopus,1,1,0,0,0,0,1,0,0
79,1127,chen,"automatic focal and non-focal eeg detection using entropy-based features from flexible analytic wavelet transform,","yang you, wanzhong chen, mingyang li, tao zhang, yun jiang, xiao zheng,","biomedical signal processing and control,",2020,sciencedirect,1,1,0,0,0,0,0,0,0
80,1138,kumar,classification of eeg signal based on dtcwt and neural network classifier,"kaur m., sugadev m., kaur h., siva kumar v.g.",lecture notes in networks and systems,2022,scopus,1,0,0,0,0,0,0,0,0
81,1143,pandey,brain2depth: lightweight cnn model for classification of cognitive states from eeg recordings,"pankaj pandey, krishna prasad miyapuram",preprints,2021,arxiv,1,0,0,0,0,0,0,0,0
82,1145,meng,"classification and identification of epileptic eeg signals based on signal enhancement,","jun jing, xuewen pang, zuozhou pan, fengjie fan, zong meng,","biomedical signal processing and control,",2022,sciencedirect,1,0,1,0,0,0,0,0,0
83,1167,aydin,classification of obsessive compulsive disorder by eeg complexity and hemispheric dependency measurements,"aydin s, arica n, ergul e, tan o.",int j neural syst,2015,pubmed,1,1,0,0,0,0,0,0,0
84,1168,azarnoosh,"diagnosis of mild alzheimer's disease by eeg and erp signals using linear and nonlinear classifiers,","elias mazrooei rad, mahdi azarnoosh, majid ghoshuni, mohammad mahdi khalilzadeh,","biomedical signal processing and control,",2021,sciencedirect,1,1,0,1,0,0,0,0,0
85,1204,liu,a compact and interpretable convolutional neural network for cross-subject driver drowsiness detection from single-channel eeg,"cui j., lan z., liu y., li r., li f., sourina o., müller-wittig w.",methods,2022,scopus,1,0,0,0,0,0,0,0,0
86,1296,aristizabal,identification of children at risk of schizophrenia via deep learning and eeg responses,"ahmedt-aristizabal d, fernando t, denman s, robinson je, sridharan s, johnston pj, laurens kr, fookes c.",ieee j biomed health inform,2021,pubmed,1,0,0,0,1,0,0,0,0
87,1312,zubair,classification of alcoholic and non-alcoholic eeg signals based on sliding-ssa and independent component analysis,"agarwal s., zubair m.",ieee sensors journal,2021,scopus,1,1,0,0,0,0,0,0,0
88,1327,hussein,a convolutional-recurrent neural network approach to resting-state eeg classification in parkinson's disease,"lee s., hussein r., ward r., jane wang z., mckeown m.j.",journal of neuroscience methods,2021,scopus,1,1,0,0,0,1,0,0,0
89,1339,kamezaki,eeg-based system using deep learning and attention mechanism for driver drowsiness detection,"zhu m., li h., chen j., kamezaki m., zhang z., hua z., sugano s.","ieee intelligent vehicles symposium, proceedings",2021,scopus,1,0,0,0,0,0,0,0,0
90,1382,pinchefsky,building an open source classifier for the neonatal eeg background: a systematic feature-based approach from expert scoring to clinical visualization,"moghadam s.m., pinchefsky e., tse i., marchi v., kohonen j., kauppila m., airaksinen m., tapani k., nevalainen p., hahn c., tam e.w.y., stevenson n.j., vanhatalo s.",frontiers in human neuroscience,2021,scopus,1,1,0,0,0,0,0,0,0
91,1417,baikun,research advancements of deep learning on eeg decoding,"zheng l., feng h., jiabei t., baikun w., dong m.",chinese journal of biomedical engineering,2020,scopus,1,0,0,0,0,0,0,0,0
92,1420,song,use of deep learning to detect personalized spatial-frequency abnormalities in eegs of children with adhd,"chen h., song y., li x.",journal of neural engineering,2019,scopus,1,0,0,0,0,0,0,0,0
93,1467,civillico,deep learning and feature based medication classifications from eeg in a large clinical data set,"nahmias d.o., civillico e.f., kontson k.l.",scientific reports,2020,scopus,1,0,0,0,0,0,0,0,0
94,1500,rajaguru,schizophrenia eeg signal classification based on swarm intelligence computing,"prabhakar s.k., rajaguru h., kim s.-h.",computational intelligence and neuroscience,2020,scopus,1,0,0,0,1,0,0,0,0
95,1528,kiral-kornek,chrononet: a deep recurrent neural network for abnormal eeg identification,"roy s., kiral-kornek i., harrer s.",lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics),2019,scopus,1,0,0,0,0,0,0,0,0
96,1529,rossetti,eeg-based outcome prediction after cardiac arrest with convolutional neural networks: performance and visualization of discriminative features,"jonas s., rossetti a.o., oddo m., jenni s., favaro p., zubler f.",human brain mapping,2019,scopus,1,1,0,0,0,0,0,0,0
97,1551,guo,deep neural network classification of eeg data in schizophrenia,"guo z., wu l., li y., li b.","proceedings of 2021 ieee 10th data driven control and learning systems conference, ddcls 2021",2021,scopus,1,1,0,0,1,0,0,0,0
98,1570,saeidi,neural decoding of eeg signals with machine learning: a systematic review,"saeidi m., karwowski w., farahani f.v., fiok k., taiar r., hancock p.a., al-juaid a.",brain sciences,2021,scopus,1,1,0,0,0,0,0,0,0
99,1574,bajpai,automated eeg pathology detection based on different convolutional neural network models: deep learning approach,"rishabh bajpai, rajamanickam yuvaraj, a. amalin prince","computers in biology and medicine,",2018,sciencedirect,1,1,0,0,0,0,0,0,1
100,1580,allgaier,deep learning end-to-end approach for the prediction of tinnitus based on eeg data,"allgaier j., neff p., schlee w., schoisswohl s., pryss r.","proceedings of the annual international conference of the ieee engineering in medicine and biology society, embs",2021,scopus,1,0,0,0,0,0,0,0,0
101,1588,anuragi,"alcohol use disorder detection using eeg signal features and flexible analytical wavelet transform,","arti anuragi, dilip singh sisodia,","biomedical signal processing and control,",2019,sciencedirect,1,0,0,0,0,0,0,0,0
102,1593,wang,improving eeg-based alzheimer's disease identification with generative adversarial learning,"song z., wang j., yi g., deng b.","chinese control conference, ccc",2021,scopus,1,0,0,0,0,0,0,0,0
103,1597,movahed,"a major depressive disorder classification framework based on eeg signals using statistical, spectral, wavelet, functional connectivity, and nonlinear analysis","movahed r.a., jahromi g.p., shahyad s., meftahi g.h.",journal of neuroscience methods,2021,scopus,1,0,0,0,0,0,1,0,0
104,1599,yang,"automated classification of neonatal amplitude-integrated eeg based on gradient boosting method,","tao yang, weiting chen, guitao cao,","biomedical signal processing and control,",2016,sciencedirect,1,1,0,0,0,0,0,0,0
105,1600,sharma,automated identification of sleep disorder types using triplet half-band filter and ensemble machine learning techniques with eeg signals,"sharma m., tiwari j., patel v., rajendra acharya u.",electronics (switzerland),2021,scopus,1,0,0,0,0,0,0,1,0
106,1610,zoppis,an attention-based architecture for eeg classification,"zoppis i., zanga a., manzoni s., cisotto g., morreale a., stella f., mauri g.","biosignals 2020 - 13th international conference on bio-inspired systems and signal processing, proceedings; part of 13th international joint conference on biomedical engineering systems and technologies, biostec 2020",2020,scopus,1,0,0,0,0,0,0,0,0
107,1621,shirrmeister,deep learning with convolutional neural networks for decoding and visualization of eeg pathology,"r. schirrmeister, l. gemein, k. eggensperger, f. hutter and t. ball","translational neurotechnology lab, medical center",2018,sciencedirect,1,1,0,0,0,0,0,0,1
108,1632,peng,domain adaptation for epileptic eeg classification using adversarial learning and riemannian manifold,"peng p., xie l., zhang k., zhang j., yang l., wei h.",biomedical signal processing and control,2022,scopus,1,0,1,0,0,0,0,0,0
109,1635,yildiz,classification and analysis of epileptic eeg recordings using convolutional neural network and class activation mapping,"yildiz a., zan h., said s.",biomedical signal processing and control,2021,scopus,1,1,0,0,0,0,0,0,0
110,1641,jiang,enhancing eeg-based classification of depression patients using spatial information,"jiang c., li y., tang y., guan c.",ieee transactions on neural systems and rehabilitation engineering,2021,scopus,1,0,0,0,0,0,1,0,0
111,1691,ghorbanzade,selection of proper eeg channels for subject intention classification using deep learning,"ghazale ghorbanzade, zahra nabizadeh-shahrebabak, shadrokh samavi, nader karimi, ali emami, pejman khadivi",preprints,2020,arxiv,1,0,0,0,0,0,0,0,0
112,1698,wei,an olfactory eeg signal classification network based on frequency band feature extraction,"biao sun, zhigang wei, pei liang, huirang hou",preprints,2022,arxiv,1,0,0,0,0,0,0,0,0
113,1705,kazemi,neonatal eeg sleep stage classification based on deep learning and hmm,"ghimatgar h, kazemi k, helfroush ms, pillay k, dereymaker a, jansen k, vos m, aarabi a.",j neural eng,2020,pubmed,1,0,0,0,0,0,0,1,0
114,1720,shoji,"automated detection of abnormalities from an eeg recording of epilepsy patients with a compact convolutional neural network,","taku shoji, noboru yoshida, toshihisa tanaka,","biomedical signal processing and control,",2021,sciencedirect,1,1,1,0,0,0,0,0,0
115,1739,deng,resting-state eeg sex classification using selected brain connectivity representation,"jean li, jeremiah d. deng, divya adhia, dirk de ridder",preprints,2020,arxiv,1,1,0,0,0,0,0,0,0
116,1773,formoso,detecting phase-synchrony connectivity anomalies in eeg signals. application to dyslexia diagnosis,"formoso m.a., ortiz a., martinez-murcia f.j., gallego n., luque j.l.",sensors,2021,scopus,1,0,0,0,0,0,0,0,0
117,1779,hussein,a deep convolutional-recurrent neural network architecture for parkinson's disease eeg classification,"lee s., hussein r., mckeown m.j.","globalsip 2019 - 7th ieee global conference on signal and information processing, proceedings",2019,scopus,1,1,0,0,0,1,0,0,0
118,1780,das,"schizophrenia detection technique using multivariate iterative filtering and multichannel eeg signals,","kritiprasanna das, ram bilas pachori,","biomedical signal processing and control,",2021,sciencedirect,1,1,0,0,1,0,0,0,0
119,1785,chen,epilepsy classification for mining deeper relationships between eeg channels based on gcn,"chen x., zheng y., niu y., li c.","proceedings - 2020 international conference on computer vision, image and deep learning, cvidl 2020",2020,scopus,1,1,1,0,0,0,0,0,0
120,1802,sandheep,performance analysis of deep learning cnn in classification of depression eeg signals,"sandheep p., vineeth s., poulose m., subha d.p.","ieee region 10 annual international conference, proceedings/tencon",2019,scopus,1,0,0,0,0,0,1,0,0
121,1809,zhou,eeg classification approach based on the extreme learning machine and wavelet transform,"yuan q, zhou w, zhang j, li s, cai d, zeng y.",clin eeg neurosci,2012,pubmed,1,0,0,0,0,0,0,0,0
122,1821,bučková,predicting sex from eeg: validity and generalizability of deep-learning-based interpretable classifier,"bučková b., brunovský m., bareš m., hlinka j.",frontiers in neuroscience,2020,scopus,1,1,0,0,0,0,0,0,0
123,1855,padfield,sparse learning of band power features with genetic channel selection for effective classification of eeg signals,"padfield n., ren j., murray p., zhao h.",neurocomputing,2021,scopus,1,0,0,0,0,0,0,0,0
124,1857,joshi,human emotion classification based on eeg signals using recurrent neural network and knn,"shashank joshi, falak joshi",preprints,2022,arxiv,1,0,0,0,0,0,0,0,0
125,1882,smith,"a hybrid decision support system for automatic detection of schizophrenia using eeg signals,","smith k. khare, varun bajaj,","computers in biology and medicine,",2022,sciencedirect,1,1,0,0,1,0,0,0,0
126,1891,choi,deep convolutional gated recurrent unit combined with attention mechanism to classify pre-ictal from interictal eeg with minimized number of channels,"choi w., kim m.-j., yum m.-s., jeong d.-h.",journal of personalized medicine,2022,scopus,1,0,0,0,0,0,0,0,0
127,1892,qin,deep multi-scale feature fusion convolutional neural network for automatic epilepsy detection using eeg signals,"qin h., deng b., wang j., yi g., wang r., zhang z.","chinese control conference, ccc",2020,scopus,1,1,1,0,0,0,0,0,0
